,Entity,Year,Records Lost,Organisation,Method of Leak,Data Sensitivity
185,Target,2014,70000000,retail,hacked,Credit Card Information
186,JP Morgan Chase,2014,76000000,financial,hacked,Credit Card Information
187,Ebay,2014,145000000,web,hacked,E-mail Address or Online Information
188,Yahoo,2014,500000000,web,hacked,SSN/Personal Details
189,Invest Bank,2015,40000,financial,hacked,Full Bank account Details
190,Uber,2015,50000,tech,poor security,E-mail Address or Online Information
191,IRS,2015,100000,government,hacked,E-mail Address or Online Information
192,TalkTalk,2015,157000,web,hacked,SSN/Personal Details
193,MSpy,2015,400000,tech,hacked,SSN/Personal Details
194,Australian Immigration Department,2015,500000,government,accidentally published,Full Bank account Details
195,British Airways,2015,500000,retail,hacked,E-mail Address or Online Information
196,Hacking Team,2015,500000,web,hacked,Full Bank account Details
197,Slack,2015,500000,tech,hacked,E-mail Address or Online Information
198,Carefirst,2015,1100000,healthcare,hacked,E-mail Address or Online Information
199,CarPhone Warehouse,2015,2700000,web,hacked,Full Bank account Details
200,Sanrio,2015,3300000,web,poor security,SSN/Personal Details
201,Adult Friend Finder,2015,3900000,web,hacked,E-mail Address or Online Information
202,US Office of Personnel Management,2015,4000000,government,hacked,SSN/Personal Details
203,VTech,2015,6400000,web,hacked,Full Bank account Details
204,Premera,2015,11000000,healthcare,hacked,Full Bank account Details
205,Kromtech,2015,13000000,web,hacked,E-mail Address or Online Information
206,Experian / T-mobile,2015,15000000,web,hacked,Credit Card Information
207,US Office of Personnel Management (2nd Breach),2015,21500000,government,hacked,Full Bank account Details
208,AshleyMadison.com,2015,37000000,web,hacked,E-mail Address or Online Information
209,Securus Technologies,2015,70000000,web,hacked,Full Bank account Details
210,Deep Root Analytics,2015,198000000,web,poor security,SSN/Personal Details
211,Syrian government,2016,274477,government,hacked,E-mail Address or Online Information
212,Minecraft,2016,7000000,web,hacked,E-mail Address or Online Information
213,Mossack Fonseca,2016,11500000,legal,hacked,Full Bank account Details
214,Mail. ru,2016,25000000,web,hacked,SSN/Personal Details
215,Fling,2016,40000000,web,hacked,E-mail Password or Health Records
216,Turkish citizenship database,2016,49611709,government,hacked,SSN/Personal Details
217,Philippinesâ€™ Commission on Elections,2016,55000000,government,hacked,Full Bank account Details
218,Anthem ,2016,80000000,healthcare,hacked,SSN/Personal Details
219,VK,2016,100544934,web,hacked,E-mail Password or Health Records
220,Wendy's,2016,1025,retail,hacked,Credit Card Information
221,Mutuelle Generale de la Police,2016,112000,healthcare,inside job,Full Bank account Details
222,MySpace,2016,164000000,web,hacked,E-mail Address or Online Information
223,Linux Ubuntu forums,2016,2000000,web,hacked,E-mail Address or Online Information
224,World Check,2016,2200000,media,poor security,Credit Card Information
225,uTorrent ,2016,35000,web,hacked,E-mail Address or Online Information
226,Banner Health,2016,3700000,healthcare,hacked,Credit Card Information
227,Privatization Agency of the Republic of Serbia,2016,5190396,government,accidentally published,SSN/Personal Details
228,Quest Diagnostics,2017,34000,healthcare,hacked,E-mail Password or Health Records
229,Three,2017,200000,telecoms,hacked,SSN/Personal Details
230,Wonga,2017,270000,financial,hacked,Full Bank account Details
231,PayAsUGym,2017,300000,web,hacked,E-mail Address or Online Information
232,Red Cross Blood Service,2017,550000,healthcare,accidentally published,E-mail Password or Health Records
233,DaFont,2017,700000,web,hacked,E-mail Password or Health Records
234,Brazzers,2017,790724,web,hacked,E-mail Password or Health Records
235,Snapchat,2017,1700000,app,hacked,E-mail Address or Online Information
236,Bell,2017,1900000,telecoms,hacked,E-mail Address or Online Information
237,Cellebrite,2017,3000000,tech,hacked,SSN/Personal Details
238,Clinton campaign,2017,5000000,government,hacked,SSN/Personal Details
239,ClixSense,2017,6600000,web,hacked,Full Bank account Details
240,Lynda.com,2017,9500000,web,hacked,E-mail Address or Online Information
241,Interpark,2017,10000000,web,hacked,SSN/Personal Details
242,Zomato,2017,17000000,web,hacked,E-mail Password or Health Records
243,Yahoo,2017,32000000,web,hacked,E-mail Password or Health Records
244,Weebly,2017,43000000,web,hacked,E-mail Password or Health Records
245,Dailymotion,2017,85200000,web,hacked,E-mail Address or Online Information
246,Friend Finder Network,2017,412000000,web,hacked,E-mail Address or Online Information
247,River City Media,2017,1370000000,web,accidentally published,SSN/Personal Details
248,Telegram ,2017,15000000,tech,hacked,E-mail Address or Online Information
249,Waterly,2017,1000000,app,poor security,Credit Card Information
250,CEX,2017,2000000,retail,accidentally published,Credit Card Information
251,Swedish Transport Agency,2017,3000000,government,poor security,Full Bank account Details
252,Instagram,2017,6000000,web,hacked,E-mail Address or Online Information
253,Equifax,2017,143000000,financial,hacked,Full Bank account Details
254,Spambot,2017,711000000,web,poor security,E-mail Password or Health Records
